,Date,Open,High,Low,Close,Volume
8676,20230712 14:06:00 Asia/Calcutta,4479.75,4480.25,4479.75,4480.25,299
8677,20230712 14:07:00 Asia/Calcutta,4480.0,4480.25,4479.5,4479.5,179
8678,20230712 14:08:00 Asia/Calcutta,4479.5,4480.0,4479.5,4480.0,179
8679,20230712 14:09:00 Asia/Calcutta,4479.75,4480.25,4479.5,4480.0,381
8680,20230712 14:10:00 Asia/Calcutta,4480.25,4480.5,4480.0,4480.5,181
8681,20230712 14:11:00 Asia/Calcutta,4480.25,4480.5,4480.0,4480.5,124
8682,20230712 14:12:00 Asia/Calcutta,4480.5,4480.5,4480.25,4480.5,61
8683,20230712 14:13:00 Asia/Calcutta,4480.5,4480.75,4480.5,4480.5,57
8684,20230712 14:14:00 Asia/Calcutta,4480.25,4480.5,4480.0,4480.25,88
8685,20230712 14:15:00 Asia/Calcutta,4480.5,4480.5,4480.5,4480.5,46
8686,20230712 14:16:00 Asia/Calcutta,4480.25,4480.25,4480.0,4480.0,108
8687,20230712 14:17:00 Asia/Calcutta,4480.0,4480.75,4480.0,4480.75,134
8688,20230712 14:18:00 Asia/Calcutta,4480.5,4480.5,4480.0,4480.0,256
8689,20230712 14:19:00 Asia/Calcutta,4480.25,4480.5,4480.25,4480.5,117
8690,20230712 14:20:00 Asia/Calcutta,4480.25,4481.0,4480.25,4480.75,116
8691,20230712 14:21:00 Asia/Calcutta,4480.75,4480.75,4480.25,4480.25,175
8692,20230712 14:22:00 Asia/Calcutta,4480.5,4480.5,4480.25,4480.25,160
8693,20230712 14:23:00 Asia/Calcutta,4480.25,4480.25,4480.0,4480.25,94
8694,20230712 14:24:00 Asia/Calcutta,4480.25,4480.5,4480.0,4480.25,134
8695,20230712 14:25:00 Asia/Calcutta,4480.25,4480.5,4480.0,4480.0,199
8696,20230712 14:26:00 Asia/Calcutta,4480.25,4480.25,4480.0,4480.25,170
8697,20230712 14:27:00 Asia/Calcutta,4480.5,4481.0,4480.5,4480.75,167
8698,20230712 14:28:00 Asia/Calcutta,4480.75,4480.75,4480.5,4480.75,144
8699,20230712 14:29:00 Asia/Calcutta,4480.75,4481.0,4480.75,4481.0,55
8700,20230712 14:30:00 Asia/Calcutta,4480.75,4481.0,4480.5,4480.75,173
8701,20230712 14:31:00 Asia/Calcutta,4480.75,4481.5,4480.5,4481.25,139
8702,20230712 14:32:00 Asia/Calcutta,4481.5,4481.75,4481.25,4481.75,161
8703,20230712 14:33:00 Asia/Calcutta,4481.5,4481.5,4480.75,4481.25,331
8704,20230712 14:34:00 Asia/Calcutta,4481.25,4481.75,4481.25,4481.5,137
8705,20230712 14:35:00 Asia/Calcutta,4481.75,4481.75,4481.5,4481.5,279
8706,20230712 14:36:00 Asia/Calcutta,4481.75,4482.0,4481.5,4481.75,354
8707,20230712 14:37:00 Asia/Calcutta,4481.5,4482.0,4481.5,4481.75,286
8708,20230712 14:38:00 Asia/Calcutta,4481.75,4481.75,4481.5,4481.5,33
8709,20230712 14:39:00 Asia/Calcutta,4481.75,4481.75,4481.5,4481.75,221
